table_name,field_name,include_in_metric_view,usage_category,description
catalog.schema.fact_pharmacy,IncurredDate_SK,False,surrogate_key,Foreign key to date dimension - date the service was incurred (typically same as filled date for pharmacy)
catalog.schema.fact_pharmacy,WrittenDate_Sk,False,surrogate_key,Foreign key to date dimension - date the prescription was written by the prescriber
catalog.schema.fact_pharmacy,PaidDate_Sk,False,surrogate_key,Foreign key to date dimension - date the claim was paid by the plan
catalog.schema.fact_pharmacy,TransactionSubmitDate_Sk,False,surrogate_key,Foreign key to date dimension - date the claim transaction was submitted to the plan
catalog.schema.fact_pharmacy,PharmacyClaimAttribute_SK,False,surrogate_key,Foreign key to pharmacy claim attributes dimension - additional claim characteristics
catalog.schema.fact_pharmacy,PBMGenericFlag,True,dimension_candidate,"PBM generic drug flag (1=generic, 0=brand). Indicates if the dispensed drug was generic or brand name."
catalog.schema.fact_pharmacy,CompoundFlag,True,dimension_candidate,"Compound medication flag (1=compounded, 0=not compound). Indicates if the prescription was a pharmacy-compounded medication."
catalog.schema.fact_pharmacy,RxClaimReversalFlag,True,dimension_candidate,"Claim reversal flag (1=reversal claim, 0=original claim). Indicates if this is a reversal of a previously paid claim."
catalog.schema.fact_pharmacy,TransactionSubmitTime,False,internal_only,Timestamp when claim transaction was submitted
catalog.schema.fact_pharmacy,TransactionSource,True,dimension_candidate,"Source system or channel for the claim transaction (e.g., retail pharmacy, mail order, specialty)"
catalog.schema.fact_pharmacy,AuthorizedRefillCount,True,measure_candidate,Number of refills authorized by the prescriber for this prescription
catalog.schema.fact_pharmacy,RefillNumber,True,dimension_candidate,"Refill number for this fill (0=original fill, 1=first refill, 2=second refill, etc.)"
catalog.schema.fact_pharmacy,PrescribedQuantity,True,measure_candidate,"Quantity of drug prescribed by the provider (in units appropriate to the drug, e.g., tablets, ml)"
catalog.schema.fact_pharmacy,DrugDaySupplyCount,True,measure_candidate,"Number of days the prescription is intended to last based on prescribed dosing (e.g., 30 days, 90 days)"
catalog.schema.fact_pharmacy,ARX,False,internal_only,NEEDS REVIEW: ARX field - purpose unclear
catalog.schema.fact_pharmacy,DrugMetricQuantity,True,measure_candidate,"Drug quantity in metric units - standardized measurement (e.g., grams, milliliters)"
catalog.schema.fact_pharmacy,DrugStrengthQuantity,True,dimension_candidate,"Strength of the drug dispensed (e.g., '20mg', '500mg', '10mg/ml')"
catalog.schema.fact_pharmacy,SubmissionClarificationCode,False,internal_only,Submission clarification code - indicates special processing circumstances
catalog.schema.fact_pharmacy,CMSStatus,True,dimension_candidate,CMS (Centers for Medicare & Medicaid Services) claim status - used for Medicare Part D reporting
catalog.schema.fact_pharmacy,NetIteration,False,internal_only,Net iteration - tracks claim resubmissions or adjustments
catalog.schema.fact_pharmacy,AdjustmentTypeCode,True,dimension_candidate,Type of claim adjustment (if this is an adjusted claim)
catalog.schema.fact_pharmacy,AdjustmentReasonCode,True,dimension_candidate,Reason for claim adjustment (if applicable)
catalog.schema.fact_pharmacy,TransactionTypeCode,True,dimension_candidate,"Type of claim transaction (e.g., original claim, reversal, adjustment)"
catalog.schema.fact_pharmacy,PharmacyDAWCode,True,dimension_candidate,"Dispense As Written (DAW) code - indicates if brand was dispensed when generic available (0=generic substituted, 1=brand medically necessary, 2=patient requested brand, etc.)"
catalog.schema.fact_pharmacy,PatientAge,True,dimension_candidate,Patient age at time of prescription fill (in years)
catalog.schema.fact_pharmacy,PatientPlaceOfServiceCode,True,dimension_candidate,"Place of service code - where the prescription was filled (e.g., retail pharmacy, mail order, nursing home)"
catalog.schema.fact_pharmacy,PatientFacilityID,False,internal_only,"Facility identifier where patient received prescription (e.g., nursing home, hospital)"
catalog.schema.fact_pharmacy,CMSPartDQualifiedFacilityFlag,True,dimension_candidate,CMS Part D qualified facility flag - indicates if facility qualifies for Part D coverage
catalog.schema.fact_pharmacy,MailOrderDaysSupplyQuantity,True,measure_candidate,Days supply for mail order prescriptions (typically 90 days for mail order)
catalog.schema.fact_pharmacy,PatientResidenceCode,True,dimension_candidate,"Patient residence code - indicates patient's care setting (e.g., home, nursing home, assisted living)"
catalog.schema.fact_pharmacy,PatientPersonCode,False,internal_only,NEEDS REVIEW: Patient person code - purpose unclear
catalog.schema.fact_pharmacy,PatientRelationshipCode,True,dimension_candidate,"Patient relationship to subscriber code (self, spouse, child, etc.)"
catalog.schema.fact_pharmacy,PatientEligibilityClarificationCode,False,internal_only,Patient eligibility clarification code - special eligibility circumstances
catalog.schema.fact_pharmacy,DrugTypeCode,True,dimension_candidate,"Drug type classification code (e.g., legend/prescription, OTC)"
catalog.schema.fact_pharmacy,DrugDosageFormCode,True,dimension_candidate,"Drug dosage form code (tablet, capsule, liquid, injection, etc.)"
catalog.schema.fact_pharmacy,DrugCategoryCode,True,dimension_candidate,Drug category classification code
catalog.schema.fact_pharmacy,DEAClassificationCode,True,dimension_candidate,DEA (Drug Enforcement Administration) schedule classification (Schedule II-V for controlled substances)
catalog.schema.fact_pharmacy,ReversalCount,True,measure_candidate,Count of reversals for this claim (typically 0 or 1)
catalog.schema.fact_pharmacy,CopayAmount,True,measure_candidate,Copayment amount paid by the member at point of sale (member out-of-pocket)
catalog.schema.fact_pharmacy,DisallowIngredientAmount,True,measure_candidate,Ingredient cost amount disallowed by the plan (not reimbursed)
catalog.schema.fact_pharmacy,InvoicedAmount,True,measure_candidate,Total amount invoiced/billed by the pharmacy
catalog.schema.fact_pharmacy,GrossDueAmount,True,measure_candidate,Gross amount due before any adjustments or discounts
catalog.schema.fact_pharmacy,MOOPAmount,True,measure_candidate,Maximum Out-Of-Pocket (MOOP) amount applied to this claim toward member's annual limit
catalog.schema.fact_pharmacy,OtherPayerRecognizedAmount,True,measure_candidate,Amount paid or recognized by another payer (coordination of benefits)
catalog.schema.fact_pharmacy,DispensingSubmitAmount,True,measure_candidate,Dispensing fee amount submitted by pharmacy (pharmacy's charge for filling prescription)
catalog.schema.fact_pharmacy,DispensingPaidAmount,True,measure_candidate,Dispensing fee amount paid to pharmacy by the plan
catalog.schema.fact_pharmacy,IngredientSubmitAmount,True,measure_candidate,Ingredient cost amount submitted by pharmacy (drug product cost)
catalog.schema.fact_pharmacy,IngredientPaidAmount,True,measure_candidate,Ingredient cost amount paid to pharmacy by the plan (actual reimbursed drug cost)
catalog.schema.fact_pharmacy,PatientSubmitPaidAmount,True,measure_candidate,NEEDS REVIEW: Patient submit paid amount - may be related to member cost share submission
catalog.schema.fact_pharmacy,PatientPaidAmount,True,measure_candidate,"Total amount paid by the patient/member (includes copay, coinsurance, deductible)"
catalog.schema.fact_pharmacy,ProfessionalServiceSubmitAmount,True,measure_candidate,"Professional service fee submitted (e.g., vaccine administration, counseling)"
catalog.schema.fact_pharmacy,UnitCostAmount,True,measure_candidate,Cost per unit of drug (ingredient cost divided by quantity)
catalog.schema.fact_pharmacy,PaidProfessionalServiceFeeAmount,True,measure_candidate,Professional service fee amount paid to pharmacy
catalog.schema.fact_pharmacy,PaidFlatSalesTaxAmount,True,measure_candidate,Flat sales tax amount paid on the prescription
catalog.schema.fact_pharmacy,PaidPercentageSalesTaxAmount,True,measure_candidate,Percentage-based sales tax amount paid on the prescription
catalog.schema.fact_pharmacy,AppliedPeriodicDeductableAmount,True,measure_candidate,"Amount of this claim applied to the member's periodic (e.g., annual) deductible"
catalog.schema.fact_pharmacy,CoinsuranceAmount,True,measure_candidate,Coinsurance amount paid by member (percentage of drug cost)
catalog.schema.fact_pharmacy,MaximumAllowableCostPriceAmount,True,measure_candidate,Maximum Allowable Cost (MAC) price - plan's maximum reimbursement for generic drugs
catalog.schema.fact_pharmacy,UsualAndCustomaryChargeAmount,True,measure_candidate,Usual and Customary (U&C) charge - pharmacy's standard cash price for the prescription
catalog.schema.fact_pharmacy,MaximumAllowableCostReducedCode,False,internal_only,Code indicating if MAC pricing was reduced or adjusted
catalog.schema.fact_pharmacy,PharmacyServiceLevelCode,True,dimension_candidate,"Pharmacy service level code - indicates network tier (preferred, standard, non-preferred)"
catalog.schema.fact_pharmacy,CardholderOtherCoverageCode,True,dimension_candidate,Code indicating cardholder has other coverage (coordination of benefits)
catalog.schema.fact_pharmacy,PharmacyClassCode,True,dimension_candidate,"Pharmacy class code - classifies pharmacy type (retail, mail, specialty, etc.)"
catalog.schema.fact_pharmacy,LastRefreshDate,False,internal_only,Last refresh/load timestamp for this record
catalog.schema.fact_pharmacy,RxSource,True,dimension_candidate,"Source of the prescription (e.g., written, electronic, phone)"
